id,tag_name,LOC,dayDifference, dayDifferenceHours
1270360,1.2,633,41 days,6:07:41
4221295,1.3,695,506 days,1:47:34
8353918,1.4,911,403 days,15:35:15
8366829,1.5,920,14:52:18
10114330,1.6,1239,133 days,1:42:26
