id,tag_name,LOC,dayDifference, dayDifferenceHours,changeLOC
4404155,0.8,11654,38 days,22:13:21,-1287
8814971,0.9,12941,416 days,9:31:02,1287
4410508,1.4,11654,123 days,17:49:45,-569
7399931,1.5,12223,301 days,22:18:32,0
