id,tag_name,LOC,dayDifference, dayDifferenceHours,changeLOC
2657969,3.6,29,103 days,20:27:10,0
4527532,3.7,29,252 days,20:49:29,0
5300369,3.8,29,90 days,16:42:05,0
5508684,4.0,29,21 days,2:59:25,0
6829412,4.1,29,125 days,10:34:51,0
7619562,4.2,29,69 days,22:53:57,-86
8820552,4.3,115,95 days,0:52:30,6
9945104,5.0,109,87 days,20:30:38,4
11302723,5.1,105,90 days,12:45:48,0
12866835,5.2,105,100 days,12:16:23,-161
14431061,5.3,266,88 days,2:51:36,0
