symphony,1901435,1.3,0,257,3:44:48,0
symphony,3766854,1.4,0,300,17:21:25,0
symphony,3922712,1.5,0,20,23:12:29,0
symphony,4426264,1.6,0,61,3:47:55,0
symphony,4851146,1.7,0,48,20:00:47,0
symphony,5011811,1.8,0,18,22:56:58,0
symphony,5141039,1.9,0,17,12:45:05,0
symphony,5659068,2.0,0,53,12:30:10,0
symphony,6431982,2.1,76,72,13:26:30,76
symphony,8338001,2.2,76,166,14:05:18,0
symphony,8882931,2.3,76,41,23:28:22,0
symphony,9564803,2.4,76,55,20:49:58,0
symphony,10075552,2.5,76,34,22:42:38,0
symphony,10466130,2.6,76,26,23:24:10,0
symphony,10837952,2.7,76,23,15:43:06,0
symphony,11169916,2.8,76,21,8:58:12,0
symphony,11453102,3.0,76,19,2:40:17,0
symphony,11887954,3.1,76,28,22:18:52,0
symphony,12216288,3.2,76,21,1:09:32,0
symphony,12623532,3.3,76,26,22:15:39,0
zipkin,3372628,1.1,3837,1,0,0
zipkin,3546404,1.2,4044,25,2:30:56,207
zipkin,3623363,1.3,4587,11,2:19:06,543
zipkin,3645074,1.4,4717,2,23:05:32,130
zipkin,3723595,1.5,4843,9,20:04:04,126
zipkin,3779858,1.6,4841,8,17:46:17,-2
zipkin,3916870,1.7,5003,17,16:25:21,162
zipkin,4014248,1.8,5096,12,12:33:28,93
zipkin,7726360,2.0,13777,377,14:52:15,8681
zipkin,7972181,2.1,13967,20,7:50:03,190
zipkin,8074652,2.2,13951,8,7:39:01,-16
zipkin,8488467,2.3,14377,33,1:19:47,426
zipkin,8699137,2.4,14832,16,2:02:41,455
zipkin,9828147,2.5,14932,88,14:57:48,100
zipkin,10133792,2.6,15029,19,4:17:50,97
zipkin,10442343,2.7,14516,21,18:48:45,-513
zipkin,10828143,2.8,15369,25,6:15:10,853
jedis,183185,2.4,5739,8,20:55:29,0
jedis,342375,2.5,6519,104,3:32:01,780
jedis,572632,2.6,6779,117,1:11:22,260
jedis,1229839,2.7,7252,219,2:06:27,473
jedis,2173701,2.8,7805,208,22:53:30,553
jedis,4097891,2.9,8295,292,1:28:57,490
jedis,14113449,3.0,9025,801,8:41:24,730
mybatis-3,1331174,3.3,15822,561,7:47:36,0
mybatis-3,3051755,3.4,18145,331,14:28:51,2323
dropwizard,2034121,0.9,13778,199,1:22:18,0
dropwizard,2845022,1.0,17557,142,6:35:30,3779
dropwizard,5436813,1.1,20913,331,9:02:09,3356
dropwizard,8025126,1.2,22586,235,5:10:40,1673
dbeaver,2657969,3.6,29,103,20:27:10,0
